TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
WAS,WAS @ MIN,04/05/2022,W,48,124.5,108.6,16,67.9,3.8,24.4,25,84.9,56.4,9.4,61.9,61.6,105.5,57.6
PHX,PHX vs. LAL,04/05/2022,W,48,110,100.9,9.1,76,2.71,23.8,22.2,84,51.9,12.7,55.9,57.1,109.5,56.5
PHI,PHI @ IND,04/05/2022,W,48,127.2,117.3,9.9,72.3,2.13,23.1,22.7,64,44.7,15.5,67.2,69,103.5,53
BKN,BKN vs. HOU,04/05/2022,W,48,115.7,102.9,12.7,56.4,1.29,15.9,29.8,68.3,51.8,16.7,54.1,60.3,102,59.9
MIL,MIL @ CHI,04/05/2022,W,48,123.3,105,18.4,69.6,2.29,21.8,28.6,71.4,53.1,13.6,59.8,64.8,102,63.2
UTA,UTA vs. MEM,04/05/2022,W,53,104.3,99.1,5.2,57.5,1.35,14.6,30.2,79.7,55.1,14.7,47.9,52.6,105.06,52
DEN,DEN vs. SAS,04/05/2022,L,48,94.2,113.7,-19.6,53.7,2,15.8,23.7,82,50.5,10.7,45.4,47,102.5,39.3
PHX,PHX @ OKC,04/03/2022,L,48,95,115.8,-20.8,59.5,2,16.8,15.1,71.1,40.8,10.9,45.5,49.8,101,40
OKC,OKC vs. PHX,04/03/2022,W,48,115.8,95,20.8,76.7,1.83,22.4,28.9,84.9,59.2,17.8,59.2,61.6,101,60
DET,DET @ IND,04/03/2022,W,48,119.8,114.7,5.1,72.1,2.58,20.7,30.5,58.5,43.8,11.9,54,56.6,101.5,47.6
LAL,LAL vs. DEN,04/03/2022,L,48,115.7,126.5,-10.8,63.3,2.38,21.4,26.7,85,54.1,12.7,56.5,58.3,102,43
MIL,MIL vs. DAL,04/03/2022,L,48,116.7,121.6,-5,59.5,2.78,18.4,29.1,84.2,51.6,9.4,52.1,54.4,96.5,43
SAS,SAS vs. POR,04/03/2022,W,48,115.3,96.8,18.5,65.8,1.92,17.9,34,79.2,57.3,13.3,53.6,58.1,96.5,62.2
CLE,CLE vs. PHI,04/03/2022,L,48,109.1,113.1,-4,68.6,2,18.3,17.4,70,44.8,12.1,54.5,58.9,99,46.6
WAS,WAS @ BOS,04/03/2022,L,48,106.3,150,-43.8,55.3,1.75,16.7,20.5,75,45,12.5,51.2,56.2,96,34.6
GSW,GSW @ SAC,04/03/2022,W,48,113.5,94.7,18.8,70.7,1.71,21.6,25,82.7,57.6,17.7,62,63.7,95.5,61.9
SAC,SAC vs. GSW,04/03/2022,L,48,94.7,113.5,-18.8,61.3,1.46,15.4,17.3,75,42.4,13.7,42.6,49.1,95.5,38.1
BOS,BOS vs. WAS,04/03/2022,W,48,150,106.3,43.8,69.6,4.88,27.1,25,79.5,55,8.3,74.2,74.4,96,65.4
NOP,NOP @ LAC,04/03/2022,L,48,106.4,126.6,-20.2,62.9,1.38,15.7,42.1,68.6,54.6,17,45.4,50.6,94,42.5
DEN,DEN @ LAL,04/03/2022,W,48,126.5,115.7,10.8,70.2,2.75,23.4,15,73.3,45.9,11.8,64.6,68.1,102,57
MIA,MIA @ TOR,04/03/2022,W,48,117.5,112.4,5.2,73.2,1.76,21.7,26.8,62.7,46.7,17.5,63.3,64.3,97,56.3
POR,POR @ SAS,04/03/2022,L,48,96.8,115.3,-18.5,66.7,1.57,17.2,20.8,66,42.7,14.7,48.8,50.8,96.5,37.8
LAC,LAC vs. NOP,04/03/2022,W,48,126.6,106.4,20.2,73.3,3.3,23.1,31.4,57.9,45.4,10.6,58.4,59.9,94,57.5
DAL,DAL @ MIL,04/03/2022,W,48,121.6,116.7,5,71.8,2,21.4,15.8,70.9,48.4,14.4,61.8,67.1,96.5,57
HOU,HOU vs. MIN,04/03/2022,L,48,122.2,128.7,-6.5,58.3,1.17,18.8,30.2,79.5,53.7,22.2,65.9,67.5,108,45.1
IND,IND vs. DET,04/03/2022,L,48,114.7,119.8,-5.1,73.3,1.74,21.2,41.5,69.5,56.3,18.6,54.3,57.2,101.5,52.4
ORL,ORL vs. NYK,04/03/2022,L,48,90.7,122.9,-32.2,60,1.64,14.3,21.3,72,44.1,11.3,42.4,45.4,96.5,31.9
TOR,TOR vs. MIA,04/03/2022,L,48,112.4,117.5,-5.2,54.3,1.12,14.1,37.3,73.2,53.3,17.5,49.4,55.6,97,43.7
MIN,MIN @ HOU,04/03/2022,W,48,128.7,122.2,6.5,62.7,1.68,21.8,20.5,69.8,46.3,17.6,69.2,71.6,108,54.9
NYK,NYK @ ORL,04/03/2022,W,48,122.9,90.7,32.2,64.4,2.9,21,28,78.7,55.9,10.4,56.5,59,96.5,68.1
PHI,PHI @ CLE,04/03/2022,W,48,113.1,109.1,4,69.7,1.64,17,30,82.6,55.2,14.1,48.1,56.9,99,53.4
CLE,CLE @ NYK,04/02/2022,W,48,126.6,106.3,20.3,59.1,2.17,20.2,23.7,75.5,52.9,12.8,63.6,65.9,94.5,60
BKN,BKN @ ATL,04/02/2022,L,48,108.5,116.2,-7.7,40.5,1.31,12.3,25.4,78.6,51.3,12.3,51,53.6,105.5,41.7
GSW,GSW vs. UTA,04/02/2022,W,48,118.1,115.1,3,75,2.73,22.6,20,64.8,44.4,11.7,59.5,62.2,93.5,55.1
ATL,ATL vs. BKN,04/02/2022,W,48,116.2,108.5,7.7,50,2.57,13.3,21.4,74.6,48.7,6.7,49.4,56.7,105.5,58.3
CHA,CHA @ PHI,04/02/2022,L,48,109.6,137.1,-27.5,81,2,22.8,22.9,67.6,42.4,16.3,54.6,58.4,104.5,39.6
UTA,UTA @ GSW,04/02/2022,L,48,115.1,118.1,-3,50,1.46,14.5,35.2,80,55.6,14,51.1,54.2,93.5,44.9
PHI,PHI vs. CHA,04/02/2022,W,48,137.1,109.6,27.5,71.7,2,24.5,32.4,77.1,57.6,18.1,73,74.8,104.5,60.4
MIA,MIA @ CHI,04/02/2022,W,48,135.1,117.2,17.9,63.6,3.11,21.2,25,74,52.2,9.6,64,67.6,93.5,57.2
CHI,CHI vs. MIA,04/02/2022,L,48,117.2,135.1,-17.9,56.8,3.5,16.5,26,75,47.8,6.5,48.3,55.2,93.5,42.8
NYK,NYK vs. CLE,04/02/2022,L,48,106.3,126.6,-20.3,61.3,1.73,15.1,24.5,76.3,47.1,11.6,48.7,54.9,94.5,40
LAL,LAL vs. NOP,04/01/2022,L,48,105.7,111.8,-6.1,61.5,1.41,17.1,23.4,87.5,52.9,16.2,54.3,58,103.5,46.1
DAL,DAL @ WAS,04/01/2022,L,48,105.1,137.8,-32.7,41.2,1.08,11.7,17.4,76.2,45.5,13.3,50.6,57.6,98,35.2
MIL,MIL vs. LAC,04/01/2022,L,48,119,154.5,-35.5,60,2,20.4,36.7,65,49.4,15,57.4,58.4,99.5,39
HOU,HOU vs. SAC,04/01/2022,L,48,114.7,120.8,-6.1,63.4,2.36,17.6,32.8,79.1,51.9,10.8,51,53.9,101.5,42.4
PHX,PHX @ MEM,04/01/2022,L,48,108.6,116.2,-7.6,57.4,1.35,19.4,19.5,65,46.5,19,60.5,61,105,47.1
POR,POR @ SAS,04/01/2022,L,48,112.1,131.3,-19.2,65.9,2.25,19.1,30.2,78,51.1,12.1,52.7,55.1,99,40.5
LAC,LAC @ MIL,04/01/2022,W,48,154.5,119,35.5,60.7,3.4,23.1,35,63.3,50.6,10.1,73.4,74.6,99.5,61
DET,DET @ OKC,04/01/2022,W,48,108.9,102,6.9,72.5,3.63,20.7,20,69.8,44.4,7.9,50.5,54,100,55.2
DEN,DEN vs. MIN,04/01/2022,L,48,125,129.5,-4.5,78.3,2,23.5,31,76.1,54.5,17.3,60.5,65.8,104.5,50.2
IND,IND @ BOS,04/01/2022,L,48,124.2,128,-3.8,59.5,1.56,18.7,25,64.1,44.3,16.2,62.3,67.5,99.5,44
WAS,WAS vs. DAL,04/01/2022,W,48,137.8,105.1,32.7,67.3,3.67,23.4,23.8,82.6,54.5,9.2,63.9,67.7,98,64.8
MEM,MEM vs. PHX,04/01/2022,W,48,116.2,108.6,7.6,65.2,2.73,19.2,35,80.5,53.5,10.5,48.5,53.4,105,52.9
TOR,TOR @ ORL,04/01/2022,W,48,106.3,92.7,13.5,58.3,2.1,16.5,21.6,75.6,46.9,10.4,49.4,53.8,96,54.8
MIN,MIN @ DEN,04/01/2022,W,48,129.5,125,4.5,60.5,2.17,18.3,23.9,69,45.5,11.4,61,66.8,104.5,49.8
NOP,NOP @ LAL,04/01/2022,W,48,111.8,105.7,6.1,56.1,1.53,17.7,12.5,76.6,47.1,14.7,56.3,62.1,103.5,53.9
SAS,SAS vs. POR,04/01/2022,W,48,131.3,112.1,19.2,73.9,2.27,23.9,22,69.8,48.9,15.2,66.7,69.7,99,59.5
ORL,ORL vs. TOR,04/01/2022,L,48,92.7,106.3,-13.5,70.6,1.09,18.3,24.4,78.4,53.1,22.9,50,53.1,96,45.2
BOS,BOS vs. IND,04/01/2022,W,48,128,124.2,3.8,64.4,1.81,20.3,35.9,75,55.7,16,61.4,67.1,99.5,56
SAC,SAC @ HOU,04/01/2022,W,48,120.8,114.7,6.1,69,2.23,20.9,20.9,67.2,48.1,12.9,59.3,63.6,101.5,57.6
